"Site","Year","Latitude","Longitude"
"CBCT _ 111 _ 2025",2025,"55.206708163435","-162.71529962665"
"CBCT _ 112 _ 2025",2025,"55.2048461527975","-162.71489395756"
"CBCT _ 113 _ 2025",2025,"55.205295382136","-162.71424798892"
"CBCT _ 114 _ 2025",2025,"55.2068003277438","-162.71478677228"
"CBCT _ 115 _ 2025",2025,"55.205850578672","-162.71379507308"
"CBCT _ 116 _ 2025",2025,"55.2047005565979","-162.71470462869"
"CBCT _ 117 _ 2025",2025,"55.2068960318288","-162.71580976160"
"CBCT _ 118 _ 2025",2025,"55.2048016281522","-162.71461814376"
"CBCT _ 119 _ 2025",2025,"55.2061542700748","-162.71457539853"
"CBCT _ 120 _ 2025",2025,"55.2048892034751","-162.71496206721"
