"Site","name","label","Year","pointname","infestationname","Count","geometry","dotcolor"
"CBOH_101_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_101","Cold Bay Orange Hawkweed",0,"c(-162.713399327627"," 55.2044472833499)"
"CBOH_102_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_102","Cold Bay Orange Hawkweed",0,"c(-162.722761668033"," 55.2030670730584)"
"CBOH_103_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_103","Cold Bay Orange Hawkweed",0,"c(-162.716716671434"," 55.2009517871807)"
"CBOH_104_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_104","Cold Bay Orange Hawkweed",0,"c(-162.72316023561"," 55.2031298552651)"
"CBOH_105_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_105","Cold Bay Orange Hawkweed",1,"c(-162.723045957943"," 55.2028586084762)"
"CBOH_106_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_106","Cold Bay Orange Hawkweed",0,"c(-162.721700489088"," 55.2010524996403)"
"CBOH_107_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_107","Cold Bay Orange Hawkweed",0,"c(-162.721980904922"," 55.2012770995421)"
"CBOH_108_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_108","Cold Bay Orange Hawkweed",0,"c(-162.721946916054"," 55.2032956163793)"
"CBOH_109_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_109","Cold Bay Orange Hawkweed",0,"c(-162.715600991061"," 55.2007027637691)"
"CBOH_11_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_11","Cold Bay Orange Hawkweed",0,"c(-162.716497535364"," 55.2010855858911)"
"CBOH_110_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_110","Cold Bay Orange Hawkweed",0,"c(-162.722068183407"," 55.2023573863459)"
